District,Region,Variable_2,Local_Bivariate_I,P_Value,Significant
Nadowli Kaleo,Upper West,Poverty_Incidence_pct,-1.903638362729493,0.028,1
Prestea/Huni Valley Municipal,Western,Poverty_Incidence_pct,0.42560773884464775,0.132,0
Ahanta West Municipal,Western,Poverty_Incidence_pct,-0.4333411288081794,0.187,0
Daffiama Bussie Issa,Upper West,Poverty_Incidence_pct,-1.1497801151479767,0.066,0
Nzema East Municipal,Western,Poverty_Incidence_pct,0.1119783825635168,0.379,0
Lawra Municipal,Upper West,Poverty_Incidence_pct,-1.9348632605583136,0.045,1
Nandom,Upper West,Poverty_Incidence_pct,-1.9103294122642405,0.064,0
Tarkwa-Nsuaem Municipal,Western,Poverty_Incidence_pct,0.3733361794644593,0.189,0
Talensi,Upper East,Poverty_Incidence_pct,-1.6291771387175364,0.004,1
Sefwi Akontombra,Western North,Poverty_Incidence_pct,0.19109209405785607,0.313,0
Effia Kwesimintsim Municipal,Western,Poverty_Incidence_pct,-0.33021075489591567,0.305,0
Nabdam,Upper East,Poverty_Incidence_pct,-2.1003906023188876,0.008,1
Builsa South,Upper East,Poverty_Incidence_pct,-1.170313860881639,0.056,0
Builsa North Municipal,Upper East,Poverty_Incidence_pct,-1.9582391352869943,0.044,1
Binduri,Upper East,Poverty_Incidence_pct,-1.2832614210811304,0.077,0
Pusiga,Upper East,Poverty_Incidence_pct,-1.1111324337908097,0.144,0
Bawku Municipal,Upper East,Poverty_Incidence_pct,-2.3121672776929345,0.003,1
North Gonja,Savannah,Poverty_Incidence_pct,-2.952954742992352,0.001,1
West Gonja,Savannah,Poverty_Incidence_pct,-3.614179962778902,0.001,1
Mion,Northern,Poverty_Incidence_pct,-2.233456077577132,0.002,1
Yendi Municipal,Northern,Poverty_Incidence_pct,-2.6104495931748586,0.016,1
Tolon,Northern,Poverty_Incidence_pct,-1.9130710520186853,0.024,1
Kumbungu,Northern,Poverty_Incidence_pct,-2.289351015220959,0.003,1
West Mamprusi Municipal,North East,Poverty_Incidence_pct,-2.8595983045872377,0.001,1
Mamprugu Moagduri,North East,Poverty_Incidence_pct,-2.665155276826264,0.001,1
Zabzugu,Northern,Poverty_Incidence_pct,-2.4689283680766585,0.011,1
Tatale Sanguli,Northern,Poverty_Incidence_pct,-2.6294776570536085,0.107,0
Sene East,Bono East,Poverty_Incidence_pct,0.3816574671958369,0.004,1
Bibiani Anhwiaso Bekwai Municipal,Western North,Poverty_Incidence_pct,0.24548277071021443,0.249,0
Sene West,Bono East,Poverty_Incidence_pct,0.4275552967508118,0.012,1
Upper Denkyira East Municipal,Central,Poverty_Incidence_pct,0.08693856301942283,0.192,0
Asutifi North,Ahafo,Poverty_Incidence_pct,-0.19157158534980312,0.127,0
Ahafo Ano North Municipal,Ashanti,Poverty_Incidence_pct,0.001184570911156176,0.413,0
Amansie Central,Ashanti,Poverty_Incidence_pct,0.001369198747066433,0.322,0
Amansie West,Ashanti,Poverty_Incidence_pct,0.002851919824345721,0.154,0
Asutifi South,Ahafo,Poverty_Incidence_pct,-0.033759330775208395,0.423,0
Techiman Municipal,Bono East,Poverty_Incidence_pct,-0.13596190910923744,0.187,0
Upper Denkyira West,Central,Poverty_Incidence_pct,0.04628282974518742,0.284,0
Techiman North,Bono East,Poverty_Incidence_pct,-0.16433419290544443,0.208,0
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,Poverty_Incidence_pct,0.01427725248674678,0.405,0
Komenda Edina Eguafo Abirem Municipal,Central,Poverty_Incidence_pct,-0.02291841838117073,0.472,0
Banda,Bono,Poverty_Incidence_pct,-0.07895544351255084,0.349,0
Sefwi Wiawso Municipal,Western North,Poverty_Incidence_pct,-0.16774509736289725,0.343,0
Jaman North,Bono,Poverty_Incidence_pct,-0.16302470288408102,0.217,0
Asunafo South,Ahafo,Poverty_Incidence_pct,-0.0590511951878272,0.394,0
Tain,Bono,Poverty_Incidence_pct,-0.17742909311907842,0.145,0
Nkoranza South Municipal,Bono East,Poverty_Incidence_pct,-0.10082392686931961,0.341,0
Sekyere Kumawu,Ashanti,Poverty_Incidence_pct,-0.0010571757137541706,0.313,0
Bole,Savannah,Poverty_Incidence_pct,-1.9040327216762793,0.011,1
Sekyere Afram Plains,Ashanti,Poverty_Incidence_pct,-0.002341592819129849,0.173,0
Asante Akim North Municipal,Ashanti,Poverty_Incidence_pct,0.0004474271811144819,0.465,0
Asante Akim Central Municipal,Ashanti,Poverty_Incidence_pct,0.0025407877304969542,0.178,0
Kintampo North Municipal,Bono East,Poverty_Incidence_pct,0.3364147912639191,0.024,1
Asokore Mampong Municipal,Ashanti,Poverty_Incidence_pct,0.00820179628934529,0.001,1
Atebubu Amantin Municipal,Bono East,Poverty_Incidence_pct,0.16266417242930134,0.13,0
Kwadaso Municipal,Ashanti,Poverty_Incidence_pct,0.008393262193252224,0.001,1
Kpandai,Northern,Poverty_Incidence_pct,-3.2545495554705344,0.001,1
Ejisu Municipal,Ashanti,Poverty_Incidence_pct,0.005191678757208426,0.009,1
Nkwanta North (Kpassa),Oti,Poverty_Incidence_pct,0.31703271303956365,0.011,1
Biakoye,Oti,Poverty_Incidence_pct,0.06396503288146131,0.219,0
Wassa Amenfi East Municipal,Western,Poverty_Incidence_pct,0.12186759650030923,0.348,0
Central Gonja,Savannah,Poverty_Incidence_pct,-1.8282602530162586,0.01,1
Tema West Municipal,Greater Accra,Poverty_Incidence_pct,-0.8443970592679021,0.146,0
Ashaiman Municipal,Greater Accra,Poverty_Incidence_pct,-0.9025411514436356,0.092,0
Pru East,Bono East,Poverty_Incidence_pct,0.2892731504948369,0.047,1
Kpone Katamanso Municipal,Greater Accra,Poverty_Incidence_pct,-0.7175372217935744,0.003,1
Savelugu Municipal,Northern,Poverty_Incidence_pct,-1.6476295609101284,0.038,1
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,Poverty_Incidence_pct,-3.0029034106740697,0.001,1
Sagnarigu Municipal,Northern,Poverty_Incidence_pct,-1.9016542136914358,0.024,1
Karaga,Northern,Poverty_Incidence_pct,-2.7745666441290746,0.001,1
North East Gonja,Savannah,Poverty_Incidence_pct,-2.1001515164265734,0.002,1
South Dayi,Volta,Poverty_Incidence_pct,0.06444815737835645,0.306,0
Tempane,Upper East,Poverty_Incidence_pct,-1.020232856233,0.125,0
Bolgatanga East,Upper East,Poverty_Incidence_pct,-2.5732618089760044,0.001,1
Yunyoo Nasuan,North East,Poverty_Incidence_pct,-2.93868369508329,0.006,1
Nanton,Northern,Poverty_Incidence_pct,-1.3365207164925716,0.073,0
Assin Central Municipal,Central,Poverty_Incidence_pct,0.052337938956243744,0.307,0
Gomoa Central,Central,Poverty_Incidence_pct,-0.10567157759894069,0.238,0
Pru West,Bono East,Poverty_Incidence_pct,0.05391414398845533,0.323,0
Berekum West,Bono,Poverty_Incidence_pct,-0.3057591152126915,0.064,0
Ahafo Ano South West,Ashanti,Poverty_Incidence_pct,0.0007250527417795352,0.423,0
Amansie South,Ashanti,Poverty_Incidence_pct,0.00027510786759824115,0.495,0
Atwima Nwabiagya North,Ashanti,Poverty_Incidence_pct,0.004630957181480979,0.049,1
Akrofuom,Ashanti,Poverty_Incidence_pct,0.0011785876016590841,0.311,0
Adansi North,Ashanti,Poverty_Incidence_pct,0.002357299572586143,0.184,0
Obuasi East,Ashanti,Poverty_Incidence_pct,0.0012085041491445426,0.397,0
Afigya Kwabre North,Ashanti,Poverty_Incidence_pct,0.0031351298072080603,0.197,0
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,Poverty_Incidence_pct,0.008811296083449027,0.001,1
Oforikrom Municipal,Ashanti,Poverty_Incidence_pct,0.007828437776726767,0.001,1
Asokwa Municipal,Ashanti,Poverty_Incidence_pct,0.007873910928904665,0.002,1
Old Tafo Municipal,Ashanti,Poverty_Incidence_pct,0.008173076403759248,0.001,1
Suame Municipal,Ashanti,Poverty_Incidence_pct,0.007885877547898849,0.001,1
Juaben Municipal,Ashanti,Poverty_Incidence_pct,0.005454260568280793,0.023,1
Ablekuma Central Municipal,Greater Accra,Poverty_Incidence_pct,-0.9589233014322257,0.001,1
Korle Klottey Municipal,Greater Accra,Poverty_Incidence_pct,-0.8665975308259096,0.001,1
Ablekuma North Municipal,Greater Accra,Poverty_Incidence_pct,-0.9084877063252447,0.001,1
Ayawaso North Municipal,Greater Accra,Poverty_Incidence_pct,-0.8623688695767653,0.002,1
Ayawaso East Municipal,Greater Accra,Poverty_Incidence_pct,-0.8771691839487702,0.001,1
Okaikoi North Municipal,Greater Accra,Poverty_Incidence_pct,-0.9060650358179224,0.001,1
Ga North Municipal,Greater Accra,Poverty_Incidence_pct,-0.8990172670693488,0.005,1
Weija Gbawe Municipal,Greater Accra,Poverty_Incidence_pct,-0.8734691053557688,0.001,1
Krowor Municipal,Greater Accra,Poverty_Incidence_pct,-0.8602545389521931,0.142,0
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,Poverty_Incidence_pct,-1.0241151623565332,0.005,1
East Gonja Municipal,Savannah,Poverty_Incidence_pct,-2.3126603934724272,0.01,1
Ablekuma West Municipal,Greater Accra,Poverty_Incidence_pct,-0.9620067002597267,0.001,1
Ayawaso Central Municipal,Greater Accra,Poverty_Incidence_pct,-0.8206108397414655,0.005,1
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,Poverty_Incidence_pct,-0.948351648309365,0.002,1
Anloga,Volta,Poverty_Incidence_pct,0.017737314893064658,0.386,0
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,Poverty_Incidence_pct,-0.3602315829183211,0.261,0
Kwahu South Municipal,Eastern,Poverty_Incidence_pct,-0.11091912640234514,0.42,0
Asene Manso Akroso,Eastern,Poverty_Incidence_pct,-0.3611632393238902,0.202,0
Upper Manya Krobo,Eastern,Poverty_Incidence_pct,0.09403261983424738,0.387,0
Achiase,Eastern,Poverty_Incidence_pct,-0.18090264950752302,0.492,0
Okere,Eastern,Poverty_Incidence_pct,-0.8648325343990342,0.085,0
Yilo Krobo Municipal,Eastern,Poverty_Incidence_pct,-0.6819210535559556,0.043,1
Atiwa West,Eastern,Poverty_Incidence_pct,-0.4694710727009512,0.128,0
New Juaben North Municipal,Eastern,Poverty_Incidence_pct,-0.8505177228547932,0.039,1
Fanteakwa North,Eastern,Poverty_Incidence_pct,0.044953265968278526,0.417,0
Birim North,Eastern,Poverty_Incidence_pct,-0.6680038756657212,0.117,0
Asuogyaman,Eastern,Poverty_Incidence_pct,0.4844709981970095,0.19,0
Kwahu East,Eastern,Poverty_Incidence_pct,0.007310613388978295,0.442,0
Kwahu West Municipal,Eastern,Poverty_Incidence_pct,-0.3061572505196311,0.318,0
Lower Manya Krobo Municipal,Eastern,Poverty_Incidence_pct,-0.17825175848081154,0.452,0
Nsawam Adoagyiri Municipal,Eastern,Poverty_Incidence_pct,-0.11993215589316342,0.493,0
Akwapim South Municipal,Eastern,Poverty_Incidence_pct,-0.5440747201669688,0.221,0
Denkyembuor,Eastern,Poverty_Incidence_pct,-0.5573291753005253,0.104,0
Kwaebibirem Municipal,Eastern,Poverty_Incidence_pct,-0.6453387573873398,0.092,0
Kwahu Afram Plains South,Eastern,Poverty_Incidence_pct,0.4839408199916671,0.145,0
Kwahu Afram Plains North,Eastern,Poverty_Incidence_pct,0.2883050622203745,0.272,0
Suhum Municipal,Eastern,Poverty_Incidence_pct,-0.7709909920534548,0.054,0
Ayensuano,Eastern,Poverty_Incidence_pct,-0.5676013780290315,0.063,0
Abuakwa South Municipal,Eastern,Poverty_Incidence_pct,-0.6872228356093781,0.057,0
Upper West Akim,Eastern,Poverty_Incidence_pct,-0.37375497170076877,0.284,0
West Akim Municipal,Eastern,Poverty_Incidence_pct,-0.2604293803088614,0.321,0
Akyemansa,Eastern,Poverty_Incidence_pct,-0.7169128151085445,0.073,0
Atiwa East,Eastern,Poverty_Incidence_pct,-0.4740154573181706,0.126,0
New Juaben South Municipal,Eastern,Poverty_Incidence_pct,-0.7010074689482769,0.078,0
Birim South,Eastern,Poverty_Incidence_pct,-0.3817076447809027,0.281,0
Abuakwa North Municipal,Eastern,Poverty_Incidence_pct,-0.7037909045263236,0.105,0
Akwapim North Municipal,Eastern,Poverty_Incidence_pct,-0.6246618073789919,0.101,0
Fanteakwa South,Eastern,Poverty_Incidence_pct,-0.4069857842141853,0.159,0
Birim Central Municipal,Eastern,Poverty_Incidence_pct,-0.3578496255405011,0.29,0
Adentan Municipal,Greater Accra,Illiteracy_Rate_pct,-1.0407802207196046,0.001,1
Ledzokuku Municipal,Greater Accra,Illiteracy_Rate_pct,-1.110977792350772,0.001,1
Chereponi,North East,Illiteracy_Rate_pct,-2.6299423369635813,0.029,1
Wa East,Upper West,Illiteracy_Rate_pct,-2.794104320190268,0.001,1
Wa Municipal,Upper West,Illiteracy_Rate_pct,-3.0197612193755945,0.001,1
Saboba,Northern,Illiteracy_Rate_pct,-3.353047329048596,0.077,0
Jirapa Municipal,Upper West,Illiteracy_Rate_pct,-2.4699130498143234,0.002,1
Gushegu Municipal,Northern,Illiteracy_Rate_pct,-3.3184895611671665,0.001,1
Sissala West,Upper West,Illiteracy_Rate_pct,-2.5911572308707003,0.002,1
Nanumba North Municipal,Northern,Illiteracy_Rate_pct,-3.458676732761646,0.001,1
Lambussie Karni,Upper West,Illiteracy_Rate_pct,-2.2279749638637005,0.006,1
Bolgatanga Municipal,Upper East,Illiteracy_Rate_pct,-0.9063271387163783,0.127,0
Nanumba South,Northern,Illiteracy_Rate_pct,-3.3809543566962414,0.001,1
Wenchi Municipal,Bono,Illiteracy_Rate_pct,0.06371225310202681,0.311,0
Bongo,Upper East,Illiteracy_Rate_pct,-0.7078604113491624,0.187,0
Tano South Municipal,Ahafo,Illiteracy_Rate_pct,0.0069339570077880715,0.456,0
Kasena Nankana West,Upper East,Illiteracy_Rate_pct,-0.0,0.001,1
Wa West,Upper West,Illiteracy_Rate_pct,-2.210549552062859,0.006,1
Sunyani Municipal,Bono,Illiteracy_Rate_pct,-0.12875958940078258,0.249,0
Sawla Tuna Kalba,Savannah,Illiteracy_Rate_pct,-3.100840826849783,0.001,1
Asante Akim South Municipal,Ashanti,Illiteracy_Rate_pct,0.0019848017891669406,0.303,0
Sissala East Municipal,Upper West,Illiteracy_Rate_pct,-3.1451630425458563,0.001,1
Ada East,Greater Accra,Illiteracy_Rate_pct,0.09075311282132063,0.375,0
Shai-Osudoku,Greater Accra,Illiteracy_Rate_pct,-0.3079320632146379,0.204,0
Kasena Nankana Municipal,Upper East,Illiteracy_Rate_pct,-1.3100116433042632,0.034,1
Ada West,Greater Accra,Illiteracy_Rate_pct,-0.16768987337672914,0.314,0
Bunkpurugu Nakpanduri,North East,Illiteracy_Rate_pct,-3.462588932899166,0.001,1
Garu,Upper East,Illiteracy_Rate_pct,-2.0810451590279406,0.002,1
Ningo-Prampram,Greater Accra,Illiteracy_Rate_pct,-0.3716492397582948,0.188,0
East Mamprusi Municipal,North East,Illiteracy_Rate_pct,-2.86744548697888,0.001,1
La Dade-Kotopon Municipal,Greater Accra,Illiteracy_Rate_pct,-0.8916506319045389,0.001,1
Bawku West,Upper East,Illiteracy_Rate_pct,-2.0898109200942043,0.002,1
Aowin Municipal,Western North,Illiteracy_Rate_pct,0.6005951443362151,0.102,0
Dormaa East,Bono,Illiteracy_Rate_pct,-0.22279976411197808,0.067,0
Suaman,Western North,Illiteracy_Rate_pct,1.1371440828981323,0.013,1
Berekum East Municipal,Bono,Illiteracy_Rate_pct,-0.06512083181851497,0.346,0
Bia East,Western North,Illiteracy_Rate_pct,-0.06988931873890242,0.469,0
Jaman South,Bono,Illiteracy_Rate_pct,-0.18326436046701178,0.193,0
Bia West,Western North,Illiteracy_Rate_pct,0.953507183023407,0.083,0
Sunyani West Municipal,Bono,Illiteracy_Rate_pct,-0.07003683111153564,0.275,0
Asunafo North Municipal,Ahafo,Illiteracy_Rate_pct,0.10894343523821706,0.218,0
Bodi,Western North,Illiteracy_Rate_pct,0.8326424747578803,0.04,1
Juaboso,Western North,Illiteracy_Rate_pct,0.3882577749229468,0.137,0
Nkoranza North,Bono East,Illiteracy_Rate_pct,0.14402067852750744,0.14,0
Kintampo South,Bono East,Illiteracy_Rate_pct,0.2414574654422029,0.036,1
Shama,Western,Illiteracy_Rate_pct,-0.36099737442783425,0.238,0
Tano North Municipal,Ahafo,Illiteracy_Rate_pct,-0.07769074713628209,0.285,0
Wassa East,Western,Illiteracy_Rate_pct,-0.3054406422287271,0.191,0
Ketu North Municipal,Volta,Illiteracy_Rate_pct,0.01493513416789309,0.43,0
Mpohor,Western,Illiteracy_Rate_pct,-0.6455431273092919,0.043,1
Wassa Amenfi West Municipal,Western,Illiteracy_Rate_pct,0.2812476708282349,0.228,0
Ketu South Municipal,Volta,Illiteracy_Rate_pct,-0.010398408113774788,0.485,0
Wassa Amenfi Central,Western,Illiteracy_Rate_pct,-0.11908353720898329,0.383,0
Keta Municipal,Volta,Illiteracy_Rate_pct,0.01660295863635858,0.435,0
Kadjebi,Oti,Illiteracy_Rate_pct,0.08950584905845785,0.224,0
Mfantsiman Municipal,Central,Illiteracy_Rate_pct,-0.017565047219977217,0.47,0
South Tongu,Volta,Illiteracy_Rate_pct,0.023048417042588143,0.376,0
Ekumfi,Central,Illiteracy_Rate_pct,-0.04754900053930958,0.385,0
Twifo Heman Lower Denkyira,Central,Illiteracy_Rate_pct,-0.06733630189503767,0.244,0
Jasikan Municipal,Oti,Illiteracy_Rate_pct,-0.05793008806814695,0.359,0
Twifo Ati Morkwa,Central,Illiteracy_Rate_pct,-0.05440605137529924,0.243,0
